zip,lat,lng,city,state_id,state_name,,county_name,timezone
66115,39.14402,-94.61104,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66118,39.09946,-94.61348,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66160,39.05576,-94.60963,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66202,39.02392,-94.66909,Mission,KS,Kansas,,Johnson,America/Chicago
66203,39.0216,-94.70558,Shawnee,KS,Kansas,,Johnson,America/Chicago
66204,38.99282,-94.67741,Overland Park,KS,Kansas,,Johnson,America/Chicago
66205,39.03122,-94.6307,Mission,KS,Kansas,,Johnson,America/Chicago
66206,38.95851,-94.61923,Leawood,KS,Kansas,,Johnson,America/Chicago
66207,38.95625,-94.64439,Overland Park,KS,Kansas,,Johnson,America/Chicago
66208,38.99936,-94.62998,Prairie Village,KS,Kansas,,Johnson,America/Chicago
66209,38.89874,-94.63778,Leawood,KS,Kansas,,Johnson,America/Chicago
66210,38.92372,-94.70483,Overland Park,KS,Kansas,,Johnson,America/Chicago
66211,38.92422,-94.6363,Leawood,KS,Kansas,,Johnson,America/Chicago
66212,38.9563,-94.68154,Overland Park,KS,Kansas,,Johnson,America/Chicago
66213,38.89885,-94.70517,Overland Park,KS,Kansas,,Johnson,America/Chicago
66214,38.96356,-94.71397,Overland Park,KS,Kansas,,Johnson,America/Chicago
66215,38.95649,-94.74304,Lenexa,KS,Kansas,,Johnson,America/Chicago
66216,39.01405,-94.74136,Shawnee,KS,Kansas,,Johnson,America/Chicago
66217,39.01148,-94.77741,Shawnee,KS,Kansas,,Johnson,America/Chicago
66218,39.01239,-94.81647,Shawnee,KS,Kansas,,Johnson,America/Chicago
66219,38.95124,-94.77807,Lenexa,KS,Kansas,,Johnson,America/Chicago
66220,38.96187,-94.8218,Lenexa,KS,Kansas,,Johnson,America/Chicago
66221,38.84786,-94.71437,Overland Park,KS,Kansas,,Johnson,America/Chicago
66223,38.86176,-94.66831,Overland Park,KS,Kansas,,Johnson,America/Chicago
66224,38.86213,-94.62866,Overland Park,KS,Kansas,,Johnson,America/Chicago
66226,39.03039,-94.8603,Shawnee,KS,Kansas,,Johnson,America/Chicago
66227,38.97248,-94.87446,Lenexa,KS,Kansas,,Johnson,America/Chicago
66251,38.91712,-94.65891,Overland Park,KS,Kansas,,Johnson,America/Chicago
66401,38.96894,-96.30539,Alma,KS,Kansas,,Wabaunsee,America/Chicago
66402,38.91782,-95.84926,Auburn,KS,Kansas,,Shawnee,America/Chicago
66403,39.89424,-96.27166,Axtell,KS,Kansas,,Marshall,America/Chicago
66404,39.86786,-96.17804,Baileyville,KS,Kansas,,Nemaha,America/Chicago
66406,39.8927,-96.42014,Beattie,KS,Kansas,,Marshall,America/Chicago
66407,39.22517,-96.19218,Belvue,KS,Kansas,,Pottawatomie,America/Chicago
66408,39.95306,-95.97607,Bern,KS,Kansas,,Nemaha,America/Chicago
66409,38.92508,-95.55589,Berryton,KS,Kansas,,Shawnee,America/Chicago
66411,39.64083,-96.63948,Blue Rapids,KS,Kansas,,Marshall,America/Chicago
66412,39.90837,-96.77794,Bremen,KS,Kansas,,Marshall,America/Chicago
66413,38.77375,-95.88305,Burlingame,KS,Kansas,,Osage,America/Chicago
66414,38.82631,-95.68563,Carbondale,KS,Kansas,,Osage,America/Chicago
66415,39.69193,-96.14381,Centralia,KS,Kansas,,Nemaha,America/Chicago
66416,39.52944,-95.86353,Circleville,KS,Kansas,,Jackson,America/Chicago
66417,39.65524,-96.03824,Corning,KS,Kansas,,Nemaha,America/Chicago
66418,39.28861,-95.93528,Delia,KS,Kansas,,Jackson,America/Chicago
66419,39.35643,-95.59908,Denison,KS,Kansas,,Jackson,America/Chicago
66422,39.33317,-96.08496,Emmett,KS,Kansas,,Pottawatomie,America/Chicago
66423,38.8492,-96.12934,Eskridge,KS,Kansas,,Wabaunsee,America/Chicago
66424,39.67789,-95.40072,Everest,KS,Kansas,,Brown,America/Chicago
66425,39.81099,-95.72225,Fairview,KS,Kansas,,Brown,America/Chicago
66427,39.66261,-96.449,Frankfort,KS,Kansas,,Marshall,America/Chicago
66428,39.67687,-95.92504,Goff,KS,Kansas,,Nemaha,America/Chicago
66429,39.0989,-95.53725,Grantville,KS,Kansas,,Jefferson,America/Chicago
66431,38.80851,-96.00241,Harveyville,KS,Kansas,,Wabaunsee,America/Chicago
66432,39.48768,-96.07348,Havensville,KS,Kansas,,Pottawatomie,America/Chicago
66434,39.86731,-95.54679,Hiawatha,KS,Kansas,,Brown,America/Chicago
66436,39.4655,-95.70278,Holton,KS,Kansas,,Jackson,America/Chicago
